Cyprinodon nevadensis amargosae collection - November 2014,,,,,,,,,
,,,,,,,,,
fish #,population,collection date,sex,SL (mm),body mass (g),pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1643,bore,Nov 2014,F,27.7,0.51,2,2.55,8.698,7.848
1644,bore,Nov 2014,M,29,0.62,right,2.68,8.522,8.39
1645,bore,Nov 2014,F,31.45,0.77,left,2.46,9.269,9.136
1646,bore,Nov 2014,F,31.9,0.75,right,2.37,9.444,8.698
1647,bore,Nov 2014,M,34.65,1.03,2,2.77,10.59,10.72
1648,bore,Nov 2014,M,33.4,0.89,2,2.5,9.272,9.575
1649,bore,Nov 2014,F,28.65,0.53,2,2.28,7.994,7.73
1650,bore,Nov 2014,M,29.9,0.71,2,2.42,9.02,9.007
1651,bore,Nov 2014,F,31.1,0.69,0,2.15,8.785,8.346
1652,bore,Nov 2014,M,37.7,1.5,2,2.9,11.6,12.17
1653,bore,Nov 2014,M,40.05,1.72,2,2.86,11.23,12.51
1654,bore,Nov 2014,F,30.9,0.78,0,2.2,9.18,8.741
1655,bore,Nov 2014,M,35.1,1.27,2,2.77,10.46,10.81
1656,bore,Nov 2014,F,30.6,0.86,right,2.59,9.4,9.575
1657,bore,Nov 2014,M,29.65,0.65,left,2.52,8.902,8.434
1658,bore,Nov 2014,F,23.4,0.33,2,2.08,6.735,6.559
1659,bore,Nov 2014,F,34,0.85,2,2.37,10.19,9.224
1660,bore,Nov 2014,F,29.5,0.61,2,1.76,7.247,7.774
1661,bore,Nov 2014,M,31.15,0.79,2,2.37,9.356,8.741
1662,bore,Nov 2014,M,37.8,1.52,2,2.77,10.98,11.07
1663,bore,Nov 2014,F,30.55,0.73,0,2.2,8.521,8.477
1664,river,Nov 2014,F,24.1,0.36,2,1.89,6.193,6.545
1665,river,Nov 2014,F,31.8,0.85,2,2.2,7.95,8.916
1666,river,Nov 2014,F,48.55,3.85,2,3.36,12.98,15.68
1667,river,Nov 2014,F,32.45,0.83,2,2.46,8.126,8.785
1668,river,Nov 2014,F,38.2,1.57,2,3.03,10.94,12.3
1669,river,Nov 2014,M,40.3,2.27,right,2.72,11.29,14.67
1670,river,Nov 2014,F,25.2,0.35,2,1.93,6.632,6.808
1671,river,Nov 2014,F,26.45,0.46,2,2.02,6.325,7.072
1672,river,Nov 2014,F,26.7,0.45,2,1.93,7.028,7.072
1673,river,Nov 2014,F,38.05,1.45,2,2.64,10.89,10.85
1674,river,Nov 2014,F,23.4,0.33,2,1.89,6.018,6.457
1675,river,Nov 2014,M,26.8,0.52,2,1.98,7.116,7.247
1676,river,Nov 2014,M,30.15,0.79,2,2.06,8.916,9.312
1677,river,Nov 2014,F,42.2,1.84,2,2.59,10.98,12.21
1678,river,Nov 2014,F,33.45,1.05,2,2.72,9.4,9.663
1679,river,Nov 2014,F,23.45,0.32,2,1.85,5.886,6.106
1680,river,Nov 2014,F,31.2,0.81,2,1.89,7.73,8.829
1681,river,Nov 2014,F,30.8,0.73,2,2.24,7.818,8.521
1682,river,Nov 2014,F,36.15,1.18,2,2.59,10.81,10.85
1683,river,Nov 2014,M,39.1,1.83,2,2.9,12.65,13.57
1684,river,Nov 2014,M,42.5,2.23,2,2.97,11.07,13.84
1685,river,Nov 2014,F,30.8,0.61,2,2.2,8.345,7.731
1686,river,Nov 2014,M,46.65,3.48,2,2.9,13.18,17.66
1687,river,Nov 2014,F,34.15,1.03,2,2.04,9.29,9.421
1688,river,Nov 2014,F,24.05,0.36,2,1.89,6.457,6.72
1689,river,Nov 2014,F,39.05,1.49,2,3.16,11.2,11.68
1690,river,Nov 2014,M,42.5,2.47,2,3.08,12.26,14.63
1691,river,Nov 2014,M,30.45,0.7,2,2.06,7.95,8.389
1692,river,Nov 2014,F,41,1.7,2,2.59,10.67,11.82
1693,river,Nov 2014,F,36.25,1.01,2,2.42,9.312,9.708
1694,river,Nov 2014,F,38.35,1.21,2,2.5,9.971,10.72
1695,river,Nov 2014,F,42.4,1.88,2,2.99,12.21,12.39
1696,river,Nov 2014,F,28.05,0.59,2,2.23,7.291,7.818
